,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,asthma_rate,number_of_cases
50,Tulare,2013,365,33,194,111,26,1,0,201,143,84,0,0,200,165,0,49.4,2369.0
51,Tuolumne,2013,364,284,78,2,0,0,0,119,64,43,0,0,364,0,0,57.45,278.0
52,Ventura,2013,365,116,238,10,1,0,0,159,77,55,0,4,160,197,4,33.73,2775.0
53,Yolo,2013,365,249,116,0,0,0,0,92,65,42,0,3,238,123,1,38.64,752.0
54,Alameda,2014,365,169,186,10,0,0,0,133,72,52,0,6,88,271,0,64.37,9909.0
55,Alpine,2014,50,45,5,0,0,0,0,83,53,31,0,0,0,50,0,,
56,Amador,2014,359,263,86,10,0,0,0,133,80,42,0,0,359,0,0,64.8,227.0
57,Butte,2014,365,127,224,12,2,0,0,156,84,57,0,0,181,184,0,47.25,978.0
58,Calaveras,2014,361,209,148,4,0,0,0,115,71,47,0,0,224,137,0,54.94,205.0
59,Colusa,2014,365,163,202,0,0,0,0,99,67,52,0,0,90,274,1,40.16,92.0
60,Contra Costa,2014,365,150,210,5,0,0,0,133,71,53,0,0,84,281,0,64.4,6784.0
61,Del Norte,2014,115,108,7,0,0,0,0,60,43,16,0,0,0,115,0,48.71,128.0
62,El Dorado,2014,365,223,96,43,3,0,0,163,105,45,0,0,354,4,7,37.14,602.0
63,Fresno,2014,365,48,193,91,33,0,0,197,148,83,0,0,206,158,1,75.08,7633.0
64,Glenn,2014,365,244,120,1,0,0,0,105,61,44,0,0,205,154,6,37.94,109.0
65,Humboldt,2014,365,152,207,5,1,0,0,169,69,53,0,0,54,307,4,68.07,905.0
66,Imperial,2014,365,24,287,45,5,2,2,352,112,69,0,0,82,219,64,79.85,1515.0
67,Inyo,2014,365,222,128,6,5,1,3,957,84,48,0,0,276,50,39,57.22,92.0
68,Kern,2014,365,17,188,117,42,0,1,307,154,97,0,0,217,140,8,61.21,5615.0
69,Kings,2014,365,69,219,52,25,0,0,180,126,71,0,0,189,135,41,79.16,1238.0
70,Lake,2014,357,333,24,0,0,0,0,93,48,37,0,0,349,7,1,77.65,479.0
71,Los Angeles,2014,365,8,250,79,26,2,0,205,143,82,0,11,160,192,2,51.98,50852.0
72,Madera,2014,365,63,227,60,15,0,0,179,126,68,0,0,193,166,6,59.9,980.0
73,Marin,2014,365,130,234,1,0,0,0,107,65,53,0,2,22,341,0,26.56,643.0
74,Mariposa,2014,365,160,178,26,1,0,0,153,93,53,0,0,260,102,3,32.8,60.0
75,Mendocino,2014,365,224,141,0,0,0,0,96,62,44,0,0,86,279,0,56.14,462.0
76,Merced,2014,364,120,186,56,2,0,0,157,113,61,0,2,227,133,2,85.26,2329.0
77,Mono,2014,365,332,21,1,3,2,6,2739,45,16,0,0,0,52,313,33.12,49.0
78,Monterey,2014,365,285,80,0,0,0,0,100,55,40,0,0,180,170,15,48.0,2095.0
79,Napa,2014,365,111,254,0,0,0,0,90,69,55,0,0,24,341,0,47.79,647.0
80,Nevada,2014,365,211,120,33,1,0,0,168,100,47,0,0,352,13,0,46.29,368.0
81,Orange,2014,365,35,309,19,2,0,0,156,87,63,0,13,53,297,2,32.22,9767.0
82,Placer,2014,365,116,221,23,3,2,0,265,97,57,0,0,187,178,0,30.18,1079.0
83,Plumas,2014,127,58,56,10,3,0,0,158,103,52,0,0,0,127,0,41.5,65.0
84,Riverside,2014,365,11,198,122,32,1,1,541,150,93,0,0,193,115,57,41.69,9601.0
85,Sacramento,2014,365,133,192,40,0,0,0,147,105,55,0,1,207,155,2,68.77,9987.0
86,San Benito,2014,365,286,75,4,0,0,0,115,61,42,0,0,320,45,0,54.84,307.0
87,San Bernardino,2014,365,21,217,83,43,1,0,201,159,82,0,9,199,141,16,59.13,12636.0
88,San Diego,2014,365,48,278,37,2,0,0,170,101,65,0,10,160,184,11,36.25,11286.0
89,San Francisco,2014,365,249,116,0,0,0,0,97,59,39,0,41,102,222,0,41.62,3093.0
90,San Joaquin,2014,365,112,219,33,1,0,0,152,99,58,0,0,173,188,4,63.71,4588.0
91,San Luis Obispo,2014,365,81,270,14,0,0,0,126,87,60,0,0,115,245,5,36.25,870.0
92,San Mateo,2014,365,278,87,0,0,0,0,99,59,38,1,18,144,202,0,35.71,2647.0
93,Santa Barbara,2014,365,161,198,4,2,0,0,159,66,52,0,1,143,217,4,37.94,1571.0
94,Santa Clara,2014,365,216,141,7,1,0,0,154,71,46,0,12,140,212,1,30.47,5643.0
95,Santa Cruz,2014,365,256,97,12,0,0,0,136,70,39,0,0,189,176,0,37.0,925.0
96,Shasta,2014,365,272,87,6,0,0,0,126,71,43,0,0,349,14,2,65.02,1095.0
97,Siskiyou,2014,363,330,31,0,2,0,0,162,50,37,0,0,343,18,2,48.73,192.0
98,Solano,2014,365,171,191,3,0,0,0,124,69,51,0,1,89,275,0,81.01,3321.0
99,Sonoma,2014,365,257,108,0,0,0,0,83,58,42,0,0,147,216,2,39.79,1895.0
100,Stanislaus,2014,365,112,194,53,6,0,0,164,114,60,0,0,211,152,2,63.99,3421.0
101,Sutter,2014,365,132,220,12,1,0,0,156,84,55,0,3,141,220,1,38.09,372.0
102,Tehama,2014,364,227,121,15,1,0,0,151,80,45,0,0,320,43,1,53.76,326.0
103,Trinity,2014,112,102,10,0,0,0,0,90,44,12,0,0,0,112,0,74.53,78.0
104,Tulare,2014,365,44,197,97,27,0,0,172,145,84,0,0,199,165,1,48.97,2373.0
105,Tuolumne,2014,334,214,104,16,0,0,0,133,87,46,0,0,334,0,0,49.44,242.0
106,Ventura,2014,365,101,249,15,0,0,0,150,87,58,0,1,174,186,4,34.45,2855.0
107,Yolo,2014,365,215,149,1,0,0,0,101,63,46,0,2,163,200,0,42.26,813.0
108,Alameda,2015,365,146,207,12,0,0,0,147,79,54,0,6,117,242,0,64.22,9929.0
109,Alpine,2015,31,1,14,13,3,0,0,177,149,102,0,0,0,31,0,,
110,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,58.2,195.0
111,Butte,2015,365,138,214,12,1,0,0,153,84,55,0,0,198,166,1,50.17,1043.0
112,Calaveras,2015,365,216,127,18,1,1,2,390,90,47,0,0,250,115,0,48.09,185.0
113,Colusa,2015,365,141,218,4,1,1,0,208,73,53,0,0,89,274,2,41.69,97.0
114,Contra Costa,2015,365,193,164,8,0,0,0,147,70,48,0,0,138,227,0,65.07,6854.0
115,Del Norte,2015,114,101,13,0,0,0,0,72,51,20,0,0,0,114,0,52.97,139.0
116,El Dorado,2015,365,238,103,22,2,0,0,166,93,44,0,0,347,8,10,36.37,592.0
117,Fresno,2015,365,38,225,78,23,1,0,205,136,80,0,0,203,158,4,76.95,7933.0
118,Glenn,2015,365,221,144,0,0,0,0,93,68,46,0,0,206,148,11,42.76,122.0
119,Humboldt,2015,365,241,124,0,0,0,0,91,59,40,0,0,145,216,4,63.21,832.0
120,Imperial,2015,365,49,274,39,3,0,0,184,105,66,0,1,113,178,73,71.02,1386.0
121,Inyo,2015,365,191,153,12,6,0,3,1482,90,49,0,0,265,55,45,54.03,88.0
122,Kern,2015,365,23,220,93,28,1,0,201,146,84,0,0,208,154,3,62.17,5850.0
123,Kings,2015,365,72,223,60,10,0,0,182,119,74,0,0,179,153,33,78.38,1246.0
124,Lake,2015,363,351,11,1,0,0,0,148,47,36,0,0,359,4,0,80.61,478.0
125,Los Angeles,2015,365,3,230,95,36,1,0,203,151,80,0,16,167,180,2,52.97,52115.0
126,Madera,2015,365,78,240,43,4,0,0,156,105,64,0,0,193,158,14,62.21,1029.0
127,Marin,2015,365,226,137,2,0,0,0,103,64,43,1,12,128,224,0,22.16,541.0
128,Mariposa,2015,365,220,134,6,4,1,0,240,84,47,0,0,289,67,9,47.7,79.0
129,Mendocino,2015,365,213,148,2,2,0,0,164,61,46,0,0,64,301,0,57.41,478.0
130,Merced,2015,365,107,213,41,4,0,0,159,105,61,0,0,188,177,0,87.2,2420.0
131,Mono,2015,365,318,28,2,4,1,12,4384,54,15,0,0,0,47,318,32.21,43.0
132,Monterey,2015,365,285,79,1,0,0,0,120,54,41,0,1,169,183,12,50.12,2192.0
133,Napa,2015,365,158,206,1,0,0,0,108,72,53,1,1,104,257,2,41.58,569.0
134,Nevada,2015,364,213,120,29,2,0,0,166,93,48,0,0,350,14,0,42.59,350.0
135,Orange,2015,365,57,287,19,2,0,0,156,87,61,0,18,79,267,1,33.77,10260.0
136,Placer,2015,365,179,177,8,1,0,0,189,77,51,0,5,146,214,0,31.35,1123.0
137,Plumas,2015,132,52,66,10,4,0,0,159,102,56,0,0,0,132,0,55.71,98.0
138,Riverside,2015,365,19,206,106,32,2,0,238,150,88,0,0,178,131,56,43.08,10095.0
139,Sacramento,2015,365,101,237,24,3,0,0,172,93,58,0,1,146,218,0,69.13,10100.0
140,San Benito,2015,365,303,62,0,0,0,0,93,58,40,0,0,314,50,1,50.0,284.0
141,San Bernardino,2015,365,14,221,88,37,5,0,223,154,84,0,18,190,151,6,59.21,12741.0
142,San Diego,2015,365,46,278,40,1,0,0,156,102,65,0,1,160,202,2,36.95,11629.0
143,San Francisco,2015,365,246,119,0,0,0,0,100,61,39,0,41,134,190,0,41.06,3136.0
144,San Joaquin,2015,365,83,246,32,4,0,0,164,100,60,0,0,122,239,4,65.96,4789.0
145,San Luis Obispo,2015,365,95,265,5,0,0,0,126,80,58,0,0,129,229,7,40.05,949.0
146,San Mateo,2015,365,297,67,1,0,0,0,101,56,35,1,22,198,144,0,36.36,2688.0
147,Santa Barbara,2015,365,168,196,1,0,0,0,101,69,51,0,3,160,200,2,40.63,1731.0
148,Santa Clara,2015,365,179,179,7,0,0,0,147,71,51,0,6,120,239,0,35.04,6514.0
149,Santa Cruz,2015,365,282,83,0,0,0,0,95,59,38,0,0,187,178,0,36.24,905.0
150,Shasta,2015,365,252,100,12,1,0,0,157,84,44,0,0,351,14,0,60.21,1010.0
151,Siskiyou,2015,362,330,28,4,0,0,0,139,49,36,0,0,331,29,2,47.22,176.0
152,Solano,2015,365,186,175,4,0,0,0,118,74,50,0,6,142,216,1,83.0,3407.0
153,Sonoma,2015,365,293,72,0,0,0,0,90,58,37,0,0,215,148,2,40.01,1927.0
154,Stanislaus,2015,365,92,225,43,5,0,0,187,112,62,0,0,164,194,7,60.63,3279.0
155,Sutter,2015,365,157,200,8,0,0,0,119,86,54,1,0,182,182,0,33.88,335.0
156,Tehama,2015,365,223,123,18,1,0,0,154,87,47,0,0,304,59,2,52.4,321.0
157,Trinity,2015,68,67,1,0,0,0,0,56,29,12,0,0,0,68,0,60.99,67.0
158,Tulare,2015,365,29,238,78,20,0,0,176,143,80,0,0,191,171,3,51.27,2541.0
159,Tuolumne,2015,364,264,89,11,0,0,0,126,77,43,0,0,364,0,0,53.24,257.0
160,Ventura,2015,365,119,233,13,0,0,0,126,85,56,0,2,162,198,3,35.2,2927.0
161,Yolo,2015,365,185,176,4,0,0,0,103,77,50,0,1,160,204,0,44.07,851.0
162,Alameda,2016,366,155,196,13,2,0,0,154,74,52,0,2,123,241,0,57.7,9073.0
163,Alpine,2016,24,19,5,0,0,0,0,69,55,29,0,0,0,24,0,,
164,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0,61.35,186.0
165,Butte,2016,366,115,235,16,0,0,0,127,87,57,0,0,143,223,0,37.89,766.0
166,Calaveras,2016,366,195,149,22,0,0,0,150,87,49,0,0,240,125,1,45.15,171.0
167,Colusa,2016,366,222,144,0,0,0,0,92,64,45,0,0,179,174,13,29.58,67.0
168,Contra Costa,2016,366,210,153,3,0,0,0,143,63,46,0,0,137,229,0,56.61,6008.0
169,Del Norte,2016,177,156,21,0,0,0,0,69,52,26,0,0,0,177,0,70.77,171.0
170,El Dorado,2016,366,221,102,31,12,0,0,172,105,45,0,0,363,3,0,35.44,564.0
171,Fresno,2016,366,62,199,80,25,0,0,190,140,76,0,0,193,163,10,67.36,6922.0
172,Glenn,2016,362,194,168,0,0,0,0,92,64,48,0,0,137,221,4,36.33,103.0
173,Humboldt,2016,366,288,78,0,0,0,0,77,57,38,0,1,192,169,4,64.47,814.0
174,Imperial,2016,366,64,257,39,3,1,2,546,105,61,0,2,118,156,90,66.2,1286.0
175,Inyo,2016,366,238,105,15,4,1,3,418,87,45,0,0,301,29,36,53.88,90.0
176,Kern,2016,366,46,204,102,14,0,0,169,136,80,0,0,211,148,7,54.29,4986.0
177,Kings,2016,366,61,231,71,3,0,0,156,115,72,0,0,164,155,47,64.83,1024.0
178,Lake,2016,365,356,9,0,0,0,0,74,44,33,0,0,363,2,0,79.39,487.0
179,Los Angeles,2016,366,7,255,81,19,4,0,226,134,77,0,23,152,190,1,51.19,50476.0
180,Madera,2016,366,91,225,47,3,0,0,156,105,63,0,0,187,167,12,60.05,954.0
181,Marin,2016,366,296,70,0,0,0,0,90,55,36,0,4,137,225,0,23.09,543.0
182,Mariposa,2016,366,197,149,19,1,0,0,159,93,48,0,0,242,114,10,45.2,66.0
183,Mendocino,2016,364,287,77,0,0,0,0,70,54,39,0,0,105,258,1,56.08,448.0
184,Merced,2016,366,115,216,33,2,0,0,151,100,58,0,0,178,186,2,79.01,2207.0
185,Mono,2016,366,312,21,3,6,0,24,7063,63,18,0,0,0,37,329,28.06,33.0
186,Monterey,2016,366,290,65,3,8,0,0,185,55,37,0,0,203,140,23,44.19,1953.0
187,Napa,2016,366,219,147,0,0,0,0,90,61,44,0,0,104,261,1,33.48,439.0
188,Nevada,2016,366,232,89,40,5,0,0,179,101,45,0,0,353,13,0,33.6,267.0
189,Orange,2016,366,87,264,13,2,0,0,169,88,58,0,16,118,231,1,29.17,8861.0
190,Placer,2016,366,187,159,17,3,0,0,166,80,50,0,5,174,187,0,28.25,967.0
191,Plumas,2016,355,203,141,10,1,0,0,152,76,43,0,0,0,355,0,61.47,99.0
192,Riverside,2016,366,23,214,86,37,4,2,379,154,83,0,0,190,128,48,41.36,9576.0
193,Sacramento,2016,366,136,191,33,6,0,0,172,101,55,0,0,172,194,0,60.63,8938.0
194,San Benito,2016,366,298,63,5,0,0,0,126,61,39,0,0,325,41,0,48.56,267.0
195,San Bernardino,2016,366,9,219,78,48,12,0,217,172,84,0,19,182,157,8,51.78,11302.0
196,San Diego,2016,366,30,294,40,2,0,0,164,105,68,0,2,176,188,0,30.96,10056.0
197,San Francisco,2016,366,236,130,0,0,0,0,71,58,41,1,26,115,224,0,38.44,2987.0
198,San Joaquin,2016,366,62,278,25,1,0,0,166,93,60,0,1,94,270,1,57.37,4233.0
199,San Luis Obispo,2016,366,140,217,8,1,0,0,156,84,55,0,0,206,143,17,37.97,924.0
200,San Mateo,2016,366,214,152,0,0,0,0,70,59,47,1,14,80,271,0,32.35,2377.0
201,Santa Barbara,2016,366,191,163,9,2,0,1,313,69,50,0,0,172,166,28,37.65,1638.0
202,Santa Clara,2016,366,187,178,1,0,0,0,101,64,50,0,4,95,267,0,29.02,5522.0
203,Santa Cruz,2016,366,306,60,0,0,0,0,76,54,35,0,0,162,204,0,34.4,862.0
204,Shasta,2016,366,296,56,14,0,0,0,140,74,41,0,0,358,8,0,46.21,724.0
205,Siskiyou,2016,362,351,11,0,0,0,0,93,44,27,0,0,335,27,0,33.72,128.0
206,Solano,2016,366,213,151,2,0,0,0,105,65,47,0,3,137,226,0,80.45,3340.0
207,Sonoma,2016,366,323,43,0,0,0,0,87,51,34,0,0,265,99,2,36.56,1681.0
208,Stanislaus,2016,366,102,221,40,3,0,0,164,103,59,0,0,163,202,1,51.13,2757.0
209,Sutter,2016,366,115,219,32,0,0,0,147,97,58,0,0,158,208,0,33.39,322.0
210,Tehama,2016,366,218,106,37,5,0,0,174,108,45,0,0,307,58,1,55.95,335.0
211,Trinity,2016,167,83,84,0,0,0,0,97,73,51,0,0,0,167,0,52.46,55.0
212,Tulare,2016,366,55,187,102,22,0,0,177,145,77,0,0,199,164,3,40.53,1979.0
213,Tuolumne,2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0,46.97,224.0
214,Ventura,2016,366,120,237,9,0,0,0,147,84,56,0,0,138,224,4,32.31,2613.0
215,Yolo,2016,366,246,116,4,0,0,0,115,64,43,0,1,216,148,1,38.19,768.0
216,Alameda,2017,365,106,245,9,4,1,0,205,78,56,0,6,51,308,0,56.04,8916.0
217,Amador,2017,362,291,67,4,0,0,0,136,64,38,0,0,362,0,0,56.02,175.0
218,Butte,2017,365,100,241,23,1,0,0,155,95,59,0,0,150,213,2,45.29,935.0
219,Calaveras,2017,354,118,222,12,2,0,0,172,87,57,0,0,198,155,1,54.51,197.0
220,Colusa,2017,365,237,120,7,0,1,0,213,67,43,0,0,168,179,18,28.28,62.0
221,Contra Costa,2017,365,131,222,8,4,0,0,175,76,54,0,0,55,310,0,62.21,6697.0
222,Del Norte,2017,298,241,55,0,1,1,0,251,56,27,0,0,0,298,0,59.78,148.0
223,El Dorado,2017,362,235,96,31,0,0,0,147,100,45,0,0,327,7,28,40.66,649.0
224,Fresno,2017,365,76,169,93,26,1,0,207,140,75,0,2,212,140,11,75.31,7775.0
225,Glenn,2017,365,231,127,7,0,0,0,150,63,46,0,0,144,185,36,45.63,129.0
226,Humboldt,2017,365,298,59,5,3,0,0,180,61,37,1,1,230,123,10,66.62,848.0
227,Imperial,2017,365,73,250,37,2,2,1,328,104,64,0,2,139,163,61,65.49,1290.0
228,Inyo,2017,365,195,145,16,3,0,6,2234,87,49,0,0,256,58,51,71.14,110.0
229,Kern,2017,365,59,167,115,24,0,0,197,140,85,0,0,236,121,8,52.13,4840.0
230,Kings,2017,365,82,212,50,21,0,0,192,125,72,0,0,185,145,35,67.87,1072.0
231,Lake,2017,362,350,10,1,1,0,0,172,44,35,0,0,346,15,1,79.75,481.0
232,Los Angeles,2017,365,9,237,73,38,8,0,224,156,79,0,20,156,189,0,49.85,49365.0
233,Madera,2017,365,117,200,42,6,0,0,166,105,62,0,1,210,139,15,61.78,978.0
234,Marin,2017,365,224,133,5,3,0,0,164,62,44,0,6,86,273,0,23.33,563.0
235,Mariposa,2017,365,146,179,31,9,0,0,189,101,54,0,0,216,149,0,46.04,63.0
236,Mendocino,2017,365,226,131,7,0,1,0,203,70,45,0,0,107,255,3,70.37,563.0
237,Merced,2017,364,127,203,31,3,0,0,161,100,58,0,0,173,189,2,73.9,2063.0
238,Mono,2017,365,300,40,5,1,4,15,3767,63,18,0,0,0,40,325,31.92,40.0
239,Monterey,2017,365,265,99,1,0,0,0,121,58,41,0,0,188,150,27,42.82,1913.0
240,Napa,2017,365,137,214,7,5,2,0,274,71,53,1,1,37,326,0,39.65,535.0
241,Nevada,2017,365,194,90,62,19,0,0,185,133,49,0,0,343,22,0,38.34,306.0
242,Orange,2017,365,86,247,30,2,0,0,151,97,59,0,15,138,209,3,29.65,9069.0
243,Placer,2017,365,211,145,7,2,0,0,156,77,46,0,5,224,134,2,34.6,1191.0
244,Plumas,2017,351,184,142,17,8,0,0,189,90,47,0,0,0,351,0,62.32,86.0
245,Riverside,2017,365,26,188,100,43,6,2,359,161,87,0,1,213,120,31,43.06,10057.0
246,Sacramento,2017,365,105,225,33,2,0,0,164,100,60,0,0,146,215,4,68.18,10105.0
247,San Benito,2017,365,284,79,2,0,0,0,117,64,41,0,0,311,51,3,60.76,339.0
248,San Bernardino,2017,365,9,209,73,51,23,0,233,185,84,0,8,203,140,14,51.21,11181.0
249,San Diego,2017,365,41,262,56,6,0,0,174,112,68,0,0,203,162,0,31.65,10323.0
250,San Francisco,2017,365,211,147,7,0,0,0,136,67,44,0,28,103,234,0,41.74,3240.0
251,San Joaquin,2017,365,141,191,33,0,0,0,146,100,55,0,2,153,202,8,65.61,4869.0
252,San Luis Obispo,2017,365,107,250,8,0,0,0,133,82,58,0,0,158,187,20,33.13,799.0
253,San Mateo,2017,365,238,120,4,3,0,0,155,62,42,0,13,123,229,0,31.63,2342.0
254,Santa Barbara,2017,365,181,167,6,8,2,1,313,74,51,0,0,169,187,9,33.48,1467.0
255,Santa Clara,2017,365,174,179,9,3,0,0,182,75,52,0,5,132,228,0,30.52,5849.0
256,Santa Cruz,2017,365,269,92,4,0,0,0,130,61,39,0,0,176,189,0,29.88,770.0
257,Shasta,2017,365,260,91,12,2,0,0,159,84,44,0,0,348,17,0,45.19,720.0
258,Siskiyou,2017,225,198,23,3,1,0,0,167,57,28,0,0,134,91,0,42.03,159.0
259,Solano,2017,365,173,182,5,5,0,0,184,73,52,0,2,121,242,0,91.11,3844.0
260,Sonoma,2017,365,267,93,2,3,0,0,169,60,41,0,0,186,178,1,41.34,1937.0
261,Stanislaus,2017,365,127,175,55,8,0,0,185,112,61,0,1,207,150,7,56.49,3070.0
262,Sutter,2017,365,128,228,9,0,0,0,130,84,56,0,0,134,228,3,31.53,300.0
263,Tehama,2017,365,237,119,6,3,0,0,172,77,42,0,0,277,88,0,59.26,348.0
264,Trinity,2017,203,76,116,6,1,1,3,844,91,57,0,0,0,203,0,50.16,55.0
265,Tulare,2017,365,67,171,96,31,0,0,174,147,81,0,0,211,147,7,43.28,2132.0
266,Tuolumne,2017,362,231,106,25,0,0,0,143,93,44,0,0,362,0,0,53.54,244.0
267,Ventura,2017,365,117,215,20,6,5,2,961,100,57,0,0,176,182,7,34.62,2826.0
268,Yolo,2017,365,228,130,6,1,0,0,154,71,45,0,0,223,141,1,43.1,890.0
269,Alameda,2018,365,77,271,5,9,3,0,248,79,57,0,1,22,342,0,48.4,7778.0
270,Amador,2018,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0,43.83,137.0
271,Butte,2018,365,97,228,22,10,3,5,682,104,59,0,0,148,216,1,42.13,906.0
272,Calaveras,2018,364,52,292,14,6,0,0,160,87,58,0,0,71,293,0,51.8,185.0
273,Colusa,2018,365,206,131,10,17,1,0,299,84,46,0,0,138,210,17,53.47,118.0
274,Contra Costa,2018,365,111,236,7,8,3,0,270,74,55,0,0,45,320,0,55.1,5991.0
275,Del Norte,2018,180,134,46,0,0,0,0,80,58,33,0,0,0,180,0,53.22,132.0
276,El Dorado,2018,365,221,107,27,9,1,0,203,101,45,0,0,347,9,9,34.19,564.0
277,Fresno,2018,365,61,206,79,19,0,0,185,133,75,0,0,210,151,4,66.96,6928.0
278,Glenn,2018,363,242,105,9,6,1,0,255,71,39,0,0,130,185,48,35.88,101.0
279,Humboldt,2018,365,301,58,5,1,0,0,167,58,35,0,2,231,117,15,53.04,686.0
280,Imperial,2018,365,67,248,41,7,2,0,286,108,64,0,4,103,164,94,57.85,1146.0
